player_id,purchases,avg_hrs
156071982,59,15
49624770,59,31
163930591,59,17
100719181,59,25
65064340,58,36
134516625,58,8
167167647,58,28
159428605,58,59
135244036,58,21
109205612,58,24
39082468,58,75
148674157,58,10
152585209,57,29
50801801,57,6
137460095,57,48
20366600,57,7
27169419,57,51
35864169,57,17
59332369,56,6
168244631,56,9
75232211,56,27
20464587,56,10
66615366,56,51
151015947,56,3
121497634,56,77
128207897,56,27
58761868,55,85
115167911,55,37
70915652,55,9
170068207,55,4
138482130,55,14
124443679,55,86
15305418,55,27
150789931,55,40
84513749,55,28
65909415,55,5
100519466,54,105
150882304,54,76
147859903,54,6
136495026,54,19
93644606,54,14
59790700,54,21
60859324,54,50
88775181,54,34
117022366,54,17
153821154,53,12
34281672,53,12
39146470,53,8
195780309,53,7
111442295,53,114
26302344,53,11
5990132,53,14
130460859,53,46
117488479,53,118
195607832,53,36
149920224,52,51
142775542,52,19
216025815,52,10
11207650,52,20
122679931,52,73
45774794,52,14
24919113,52,230
164475918,51,17
156615447,51,33
101142088,51,42
86256882,51,301
108160472,51,31
58297398,51,66
274785080,51,7
157341587,51,32
108950666,51,41
126269125,50,50
161366228,50,47
87201181,50,176
83135348,50,13
9563573,50,16
2643609,49,27
95181268,49,12
175001491,49,135
115487966,49,34
164318687,49,51
155881626,49,448
35729292,49,90
195414910,49,29
110658990,49,7
102263723,49,63
87040683,49,92
168324795,49,29
93300963,48,87
60706503,48,17
248549548,48,29
164820245,48,10
45592640,48,70
163162333,48,45
50811344,48,229
60217594,48,66
249232725,48,30
57974873,48,58
8795607,48,16
17649444,47,174
98649241,47,75
102921672,47,6
106834867,47,67
29873979,47,123
245314153,47,16
129478138,47,4
142793906,47,26
107743243,47,33
46785501,47,23
85210874,47,48
103445207,47,96
80630217,47,18
113196318,47,63
12760368,47,45
224070533,47,10
170201716,47,27
99616757,46,2
188949150,46,13
99374297,46,21
72627862,46,11
52907921,46,30
116617462,46,12
9180659,46,34
206014489,46,62
144580725,46,73
114324869,46,20
163712958,46,23
111362598,45,289
80363319,45,27
32644336,45,11
21539893,45,17
204401529,45,16
96282673,45,19
27262175,45,44
235692659,45,13
24366790,44,85
8542204,44,8
106986812,44,5
111130695,44,87
104727643,44,25
191126693,44,38
175447188,44,62
91807066,44,61
165073598,44,18
161896440,44,24
185258131,44,47
190191843,44,79
30913209,44,112
59382844,44,64
93341815,44,11
167815968,44,46
73721802,44,6
106259770,44,19
123904490,44,9
110881546,43,77
60210313,43,33
48626533,43,40
110369840,43,65
181002117,43,21
59945701,43,21
210744685,43,1
197406178,43,6
58435428,43,65
141721383,43,24
161013852,43,361
252352661,42,8
50229934,42,49
45292137,42,48
48386574,42,9
39941720,42,12
167013261,42,3
153076975,42,15
125682446,42,73
190305835,42,51
111212436,42,20
10302000,42,202
44321815,42,47
270356700,42,16
41719717,42,285
102295765,42,70
106760673,42,16
52321307,42,137
239413586,42,25
126522515,42,36
15221799,42,96
146007471,42,38
54194546,41,14
130324181,41,68
87907200,41,8
37827989,41,64
86733992,41,20
197966478,41,33
71335402,41,23
114838001,41,54
199628395,41,18
