game,num_purch,avg_hr
"Call of Duty Ghosts - Multiplayer",90,54
"The Witcher 3 Wild Hunt",89,63
"Warhammer 40,000 Dawn of War - Game of the Year Edition",88,6
FEZ,87,5
RAGE,87,18
"Call of Duty World at War",87,38
"Just Cause 2 Multiplayer Mod",86,8
"Zombie Panic Source",86,28
"Dying Light",85,28
"Risk of Rain",85,11
"Alan Wake's American Nightmare",85,3
"The Ship Tutorial",85,0
"The Ship",85,4
"The Binding of Isaac Rebirth",84,84
"DCS World",84,2
"Aliens vs. Predator",84,12
"Dead Space 2",83,10
"Arma Cold War Assault",83,1
"Guns of Icarus Online",83,7
"Psychonauts Demo",82,0
"The Ship Single Player",82,1
"Super Monday Night Combat",82,16
WARMODE,82,3
"Borderlands The Pre-Sequel",82,38
Psychonauts,81,5
"Far Cry 3 Blood Dragon",81,7
"GRID 2",81,17
"DiRT 3 Complete Edition",81,5
Aftermath,81,5
"Planetary Annihilation",81,12
"Assassin's Creed II",80,28
"Deus Ex Game of the Year Edition",80,5
"Risen 2 - Dark Waters",80,20
"Football Manager 2012",80,390
"Football Manager 2014",80,392
"Dragon Age Origins - Ultimate Edition",79,43
"FINAL FANTASY VII",79,24
"Sid Meier's Civilization III Complete",79,30
"Star Wars Jedi Knight Jedi Academy",79,12
Overlord,79,14
"Medieval II Total War Kingdoms",79,48
"Football Manager 2015",79,315
"Spec Ops The Line",78,16
"Hitman 2 Silent Assassin",78,4
Braid,77,3
"Hitman Blood Money",77,4
"DARK SOULS II",77,87
"Only If",77,1
"Dust An Elysian Tail",76,7
F.E.A.R.,76,6
Antichamber,76,3
"F.E.A.R. Extraction Point",76,8
"F.E.A.R. Perseus Mandate",76,5
ArcheAge,76,28
"War Inc. Battlezone",76,4
"Brtal Legend",76,6
"Call of Duty Advanced Warfare",76,10
"Call of Duty Advanced Warfare - Multiplayer",76,51
"Wolfenstein The New Order",75,19
"How to Survive",75,7
"The Walking Dead Season Two",75,11
"Ace of Spades",75,7
AirMech,75,12
"POSTAL 2",74,5
"Titan Quest Immortal Throne",74,18
"Guns and Robots",74,5
Dungeonland,74,2
"Super Crate Box",74,2
"State of Decay",73,14
"Fishing Planet",73,2
"Supreme Commander 2",73,45
Crysis,73,7
"Mitos.is The Game",73,4
Sanctum,72,3
"Assassin's Creed III",72,45
"Fractured Space",72,3
"Block N Load",72,6
"Divinity Original Sin Enhanced Edition",72,9
"Infestation Survivor Stories",72,29
"Game Dev Tycoon",71,12
"Assassin's Creed IV Black Flag",71,60
"Lara Croft and the Guardian of Light",71,4
"S.K.I.L.L. - Special Force 2",71,6
SpaceChem,71,9
"Mortal Kombat Komplete Edition",71,20
"Worms Revolution",71,7
"Divinity Original Sin",71,36
"DiRT 3",69,14
Hammerwatch,69,8
"GTR Evolution",69,7
"Red Crucible Firestorm",69,3
"METAL GEAR SOLID V THE PHANTOM PAIN",68,72
Deadlight,68,3
"Red Faction Guerrilla Steam Edition",68,10
"Star Wars Republic Commando",68,4
NEOTOKYO,68,2
Spore,67,29
"Rogue Legacy",67,14
"SimCity 4 Deluxe",67,21
"Command and Conquer Red Alert 3 - Uprising",67,7
"The Elder Scrolls III Morrowind",67,19
"Afterfall InSanity Extended Edition",67,2
"Overlord II",67,11
"Insurgency Modern Infantry Combat",67,6
"Call of Duty 4 Modern Warfare",67,20
"Hitman Codename 47",66,2
"Plants vs. Zombies Game of the Year",66,43
"Source Filmmaker",66,14
Contagion,65,4
"Star Wars Empire at War Gold",65,12
"This War of Mine",65,13
"Worms Reloaded",65,7
Panzar,65,11
SpeedRunners,65,13
"Sid Meier's Civilization Beyond Earth",65,46
"Warlock - Master of the Arcane",65,19
Reus,64,4
"Brothers - A Tale of Two Sons",64,2
"Infinite Crisis",64,3
"World of Goo",64,2
"Codename CURE",64,4
"Overlord Raising Hell",64,16
"F.E.A.R. Online",64,3
"To the Moon",64,3
"Deus Ex Invisible War",63,2
"Metro 2033 Redux",63,7
VVVVVV,63,3
"Darkest Hour Europe '44-'45",63,23
"Gun Monkeys",63,1
"Mare Nostrum",63,1
"Red Orchestra Ostfront 41-45",63,26
"A.V.A - Alliance of Valiant Arms",63,4
"Sakura Clicker",63,37
Elsword,63,14
"Sniper Elite 3",62,21
"Need for Speed Hot Pursuit",62,11
"Metro Last Light Redux",62,9
"Stronghold HD",62,4
"Anomaly Warzone Earth",62,2
"Warhammer 40,000 Space Marine",62,16
"Mount & Blade With Fire and Sword",62,34
"Knights and Merchants",62,2
"The Incredible Adventures of Van Helsing",62,11
"Endless Space",61,29
"Star Wars - Jedi Knight II Jedi Outcast",61,8
"Star Wars The Force Unleashed Ultimate Sith Edition",61,5
"The Wolf Among Us",61,10
"Sniper Ghost Warrior",61,13
"Crysis Warhead",61,8
"Crysis Wars",61,2
Vindictus,61,6
"BIT.TRIP RUNNER",60,2
"Far Cry",60,4
"Everlasting Summer",60,5
"School of Dragons How to Train Your Dragon",60,4
"Moonbase Alpha",60,2
Machinarium,59,4
"Universe Sandbox",59,6
UberStrike,59,2
"Anno 2070",59,29
"Two Worlds Epic Edition",59,7
"Dragons and Titans",59,3
"Supreme Commander Forged Alliance",59,85
"Call of Juarez Gunslinger",58,7
"Mortal Kombat Kollection",58,2
"Oddworld Abe's Oddysee",58,2
"Assassin's Creed Brotherhood",58,25
"Legend of Grimrock",58,12
"Age of Chivalry",58,17
"DmC Devil May Cry",57,12
"Viscera Cleanup Detail Shadow Warrior",57,1
"Tom Clancy's Splinter Cell Conviction",57,16
"Blender 2.76b",57,1
"Stronghold 3",57,10
"The Darkness II",57,7
"DiRT Showdown",56,5
"Injustice Gods Among Us Ultimate Edition",56,10
"Just Cause",56,6
"Star Wars Dark Forces",56,4
"Wargame European Escalation",56,23
"Haunted Memories",56,0
"S.T.A.L.K.E.R. Shadow of Chernobyl",55,14
"Guacamelee! Gold Edition",55,6
"Thief Gold",55,1
"Deus Ex Human Revolution - The Missing Link",55,9
"Dragon Age Origins",55,61
"Football Manager 2009",55,186
"Serious Sam HD The First Encounter",55,4
"Sacred 2 Gold",55,2
"Emily is Away",55,1
"Superbrothers Sword & Sworcery EP",54,1
"Kingdoms of Amalur Reckoning",54,26
"The Swapper",54,3
Homefront,54,13
"Spooky's House of Jump Scares",54,1
Fallout,54,7
"Train Simulator",54,60
