game,num_purch,avg_hr
"Ethan Meteor Hunter",8,0
"Finding Teddy",8,1
"Last Word",8,7
"99 Levels To Hell",8,1
"The Wonderful End of the World",8,4
"AaAaAA!!! - A Reckless Disregard for Gravity",8,4
"Sam & Max 201 Ice Station Santa",8,4
"Sam & Max 202 Moai Better Blues",8,8
"Sam & Max 205 What's New Beelzebub?",8,6
"Deponia The Complete Journey",8,20
"The Jackbox Party Pack",8,72
Chime,8,3
"Fate of the World",8,3
Blur,8,7
"Dogfight 1942",8,2
"Dreamfall The Longest Journey",8,5
"Men of War Condemned Heroes",8,9
"The Night of the Rabbit",8,8
"The Whispered World",8,2
Towns,8,11
"Epic Cards Battle(TCG)",8,0
"Trapped Dead",8,1
"Tom Clancy's H.A.W.X. 2",8,4
Darkspore,8,25
"Break Into Zatwor",8,2
"LEGO Batman 3 Beyond Gotham",8,25
Prey,8,4
"Space Hulk",8,8
"TDP4Team Battle",8,2
"Frozen Free Fall Snowball Fight",8,0
"Tom Clancy's Rainbow Six Siege",8,23
Chantelise,8,0
"BookWorm Deluxe",8,7
"Jet Set Radio",8,4
"Temper Tantrum",8,4
"New kind of adventure",8,3
"The Howler",8,3
"Farming Simulator 2011",8,55
"Absconding Zatwor",8,11
"DYNASTY WARRIORS 8 Xtreme Legends Complete Edition",8,20
"Vanguard Princess",8,2
Droplitz,8,1
"MEDIEVAL Total War - Gold Edition",8,13
"Metal War Online Retribution",8,2
"Another World",8,1
"Painkiller Resurrection",8,1
Sengoku,8,3
"Football Manager 2016 Demo",8,4
"F1 2014",8,9
"Oddworld New 'n' Tasty",8,4
"Dead Effect",8,1
"Grotesque Tactics 2 - Dungeons and Donuts",8,86
"Jade Empire Special Edition",8,17
"Little Racers STREET",8,4
"Painkiller Recurring Evil",8,8
"Planets Under Attack",8,14
Q.U.B.E.,8,3
"Spacebase DF-9",8,9
"Wolfenstein 3D Spear of Destiny",8,0
"Hunted The Demon's Forge",8,6
Contrast,8,4
"Tony Hawk's Pro Skater HD",8,9
"NEO Scavenger",8,5
Aerena,8,2
"Iron Grip Warlord",8,5
"One Manga Day",8,1
"Rising Angels Reborn",8,6
"Voices from the Sea",8,1
GooCubelets,8,2
"Why So Evil 2 Dystopia",8,6
"Call of Duty United Offensive",8,94
"Out of the Park Baseball 14",8,103
DeathSpank,8,11
"Hatoful Boyfriend",8,6
"Silent Hill Homecoming",8,3
"Might & Magic X - Legacy ",8,37
"Electronic Super Joy",8,2
"DeathSpank Thongs Of Virtue",8,6
Impire,8,16
"Helicopter Simulator 2014 Search and Rescue",8,1
Tropico,8,1
Swipecart,8,3
"Dragon Age Origins Character Creator",8,1
"Super Splatters",8,1
"Disciples III Reincarnation",8,179
"Battlegrounds of Eldhelm",8,0
"Bloons TD5",8,21
"Gothic 3 Forsaken Gods Enhanced Edition",8,5
"Edna & Harvey The Breakout",8,3
"Cities XL 2011",8,11
"American Conquest",8,0
"Cossacks Back to War",8,10
"Pink Heaven",8,0
"Dawn of Discovery - Venice",8,37
"Go! Go! Nippon! ~My First Trip to Japan~",8,3
"NBA 2K13",8,51
"Numba Deluxe",8,0
"The Path",8,2
"Alien Rage - Unlimited",8,3
"Avernum Escape From the Pit",8,86
"Frontlines Fuel of War",8,1
"Air Conflicts Pacific Carriers",8,3
Planetbase,8,4
"Heroes of Might & Magic V Hammers of Fate",8,9
"I, Zombie",8,0
"Crossfire Europe",8,1
Divekick,7,6
"Galcon Legends",7,2
"WRC 4 FIA WORLD RALLY CHAMPIONSHIP",7,5
"Phantom Breaker Battle Grounds",7,11
"Breach & Clear",7,2
"Fieldrunners 2",7,125
"Ittle Dew",7,1
"Mitsurugi Kamui Hikae",7,0
"Remnants Of Isolation",7,2
"The Beginner's Guide",7,2
"Flatout 3",7,4
"Dreamfall Chapters",7,5
"1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)",7,4
"Alchemy Mysteries Prague Legends",7,4
"Sam & Max 104 Abe Lincoln Must Die!",7,2
"Jolly Rover",7,0
"Secret Files Tunguska",7,4
"The Book of Unwritten Tales The Critter Chronicles",7,14
"The Dream Machine",7,4
"Pyramid Raid",7,0
"Primal Carnage Extinction",7,58
"LEGO Jurassic World",7,16
"Among the Sleep",7,2
"Space Empires IV Deluxe",7,11
"Fortune Summoners Secret of the Elemental Stone",7,28
FATE,7,13
"Assassins Creed Chronicles China",7,5
"Disciples II Rise of the Elves",7,0
DiRT,7,4
"Flesh Eaters",7,2
"Strong Bad Episode 1 Homestar Ruiner",7,4
"Strong Bad Episode 2 Strong Badia the Free",7,3
"Strong Bad Episode 3 Baddest of the Bands",7,3
"Strong Bad Episode 4 Dangeresque 3",7,1
"Sun Blast",7,3
"Jagged Alliance Online - Steam Edition",7,2
"Majesty 2 Collection",7,23
Teslagrad,7,2
"Star Trek D-A-C",7,1
"March of the Eagles",7,13
"Insaniquarium! Deluxe",7,9
"Scourge Outbreak",7,5
"Tales of Zestiria",7,28
Bardbarian,7,7
Knock-knock,7,2
"Legend of Mysteria",7,2
"Close Your Eyes",7,2
"Runaway A Road Adventure",7,4
"Age of Wonders Shadow Magic",7,18
"Lost Lands A Hidden Object Adventure",7,0
Voxelized,7,5
"Puzzle Dimension",7,6
"Hack, Slash, Loot",7,1
"Majesty 2",7,33
"Wrath of Athena",7,0
"Small World 2",7,5
"Games of Glory",7,0
"Without Within",7,0
Riven,7,1
"Sword of the Stars II Enhanced Edition",7,74
"Airline Tycoon 2",7,6
Terrorhedron,7,2
"Jagged Alliance 2 - Wildfire ",7,7
DisplayFusion,7,0
"Empyrion - Galactic Survival",7,18
"Cossacks Art of War",7,33
"Darkest Hour A Hearts of Iron Game",7,31
"Bloody Good Time",7,10
"Warlock 2 the Exiled",7,48
"Audiosurf 2",7,16
NotGTAV,7,1
Lume,7,1
"Minecraft Story Mode - A Telltale Games Series",7,7
"Expeditions Conquistador",7,46
"Sword of the Stars The Pit",7,5
"60 Seconds!",7,2
"Sherlock Holmes Crimes and Punishments",7,13
"DarkStar One",7,14
"Patrician IV Rise of a Dynasty",7,25
"LIGHTNING RETURNS FINAL FANTASY XIII",7,32
"Hand Of Fate",7,7
"Meridian New World",7,1
"The Fall",7,1
"Titan Attacks",7,2
"Steam Marines",7,1
"Card City Nights",7,1
"Cargo Commander",7,2
"Deus Ex Revision",7,0
Roogoo,7,0
"Zombie Shooter 2",7,4
"F1 2015",7,19
"Duck Game",7,18
"Gumboy Crazy Features",7,0
"Gumboy Crazy Adventures",7,1
"The Cat and the Coup",7,0
"Vigil Blood Bitterness",7,0
Fingerbones,7,0
"Sacred 3",7,26
"Rise of Venice",7,4
"Agricultural Simulator 2013 Steam Edition",7,23
"Anomaly Warzone Earth Mobile Campaign",7,2
"Cossacks II Battle for Europe",7,3
"Cossacks European Wars",7,4
"Knights of Honor",7,40
"Universe Sandbox ",7,3
"Star Wolves 3 Civil War",7,8
Borealis,7,2
"Brilliant Bob",7,7
"Batman Arkham Asylum",7,21
"Mini Metro",7,18
"How To Survive Third Person",7,1
Light,7,2
"NEKOPARA Vol. 0",7,2
Despair,7,5
"Thirty Flights of Loving",7,1
Hatred,7,2
Alganon,7,1
Reassembly,6,13
Overgrowth,6,7
Bleed,6,2
"Freedom Planet",6,2
"Kill The Bad Guy",6,0
Cinders,6,3
"Spriter Pro",6,3
GASP,6,0
Cryostasis,6,6
"Grim Legends The Forsaken Bride",6,7
"The Maw",6,8
Chaser,6,4
Ichi,6,4
Nimbus,6,1
Sideway,6,0
"The Raven - Legacy of a Master Thief",6,9
"Full Spectrum Warrior Ten Hammers",6,5
"Section 8",6,14
"Teenage Mutant Ninja Turtles Out of the Shadows",6,6
"SONIC THE HEDGEHOG 4 Episode II",6,6
"RISK Factions",6,3
"Out of the Park Baseball 15",6,137
"Anno 1404 Venice",6,17
Horizon,6,6
"Tom Clancy's Rainbow Six 3 Gold Edition",6,4
"Offworld Trading Company",6,13
"FINAL FANTASY XI",6,25
"Road Redemption",6,5
Guncraft,6,2
"Deadly Profits",6,3
"The Slaughtering Grounds",6,4
"ToCA Race Driver 3",6,8
"Shufflepuck Cantina Deluxe VR",6,6
"FINAL FANTASY TYPE-0 HD",6,2
"Dungeons & Dragons Chronicles of Mystara",6,4
"Party of Sin",6,2
"Secret of the Magic Crystal",6,2
"Krosmaster Arena",6,2
"Escape Rosecliff Island",6,3
"Feeding Frenzy 2 Shipwreck Showdown Deluxe",6,0
HELLDIVERS,6,5
"bit Dungeon II",6,5
"Our Darker Purpose",6,4
"Secret Of Magia",6,11
"Star Trek",6,1
"Digital Combat Simulator A-10C Warthog",6,1
"Cities XXL",6,16
"Final Exam",6,1
"Runaway A Twist of Fate",6,0
Yesterday,6,6
"Conquest of Champions",6,2
Fortix,6,1
"12 Labours of Hercules III Girl Power",6,7
Burgers,6,8
FLY'N,6,1
"Wizardry Online",6,1
"PC Gamer",6,0
"Myst Masterpiece Edition",6,2
"Dynamite Jack",6,0
"Soul Gambler",6,17
Element4l,6,4
"Dead Horde",6,1
"Frozen Synapse Prime",6,1
realMyst,6,1
DRAKERZ-Confrontation,6,2
"Kingdoms CCG",6,100
"Patrician III",6,1
"Rampage Knights",6,19
"Her Story",6,4
Ultratron,6,2
Interplanetary,6,2
"Sword of the Stars Complete Collection",6,210
"F1 2010",6,19
"Blaster Shooter GunGuy!",6,2
"Neighbours from Hell",6,2
"Neighbours from Hell 2",6,0
"Puzzle Bots",6,0
TerraTech,6,15
"Naval Warfare",6,1
"F1 2011",6,16
"Rag Doll Kung Fu",6,0
"Karos Returns",6,2
"Deadly 30",6,3
"Space Farmers",6,2
BattleSpace,6,1
"DuckTales Remastered",6,4
"Dungeons & Dragons Daggerdale",6,3
Ampu-Tea,6,1
"Ring Runner Flight of the Sages",6,1
"Call of Juarez",6,6
Praetorians,6,0
"Skyscraper Simulator",6,14
"Silent Hunter III",6,4
"Boson X",6,5
"Project Snowblind",6,1
"Hero of the Kingdom",6,5
"All Zombies Must Die!",6,4
"Dungeons 2",6,14
"Bloodwood Reload",6,0
Nightbanes,6,99
TimeShift,6,4
"Blood Bowl 2",6,41
"Scratches Director's Cut",6,4
"Legend of Dungeon Masters",6,14
"10 Second Ninja",6,3
"TrackMania United",6,8
"FootLOL Epic Fail League",6,3
Stonehearth,6,7
Hacknet,6,3
"MirrorMoon EP",6,1
"Lifeless Planet",6,11
Grimind,6,1
Tinboy,6,1
"Farm Machines Championships 2014",6,0
Windward,6,17
"Jagged Alliance Crossfire",6,1
Ignite,6,0
"Real Horror Stories Ultimate Edition",6,0
Retro/Grade,6,1
"Journey of a Roach",6,4
"Paranautical Activity Deluxe Atonement Edition",6,1
"Mortal Kombat Legacy II - Ep. 1 Reunited in Macau",6,0
"UFO Extraterrestrials Gold",6,62
"Wildlife Park 3",6,4
"Rivals of Aether",5,6
"Epic Battle Fantasy 4",5,30
Kairo,5,1
SNOW,5,4
Ziggurat,5,2
"Crimzon Clover  WORLD IGNITION",5,2
Rodina,5,1
"Aveyond 3-1 Lord of Twilight",5,1
Cloudbuilt,5,0
"Gigantic Army",5,1
"Gods Will Be Watching",5,1
"Neverending Nightmares",5,2
"Unholy Heights",5,1
"Bookworm Adventures Deluxe",5,19
"Sherlock Holmes Nemesis",5,11
"9 Clues The Secret of Serpent Creek",5,3
"Shoppe Keep",5,4
"YOU DON'T KNOW JACK Vol. 1 XL",5,1
Scoregasm,5,0
"Still Life",5,0
"Wasteland Angel",5,0
"YOU DON'T KNOW JACK Vol. 2",5,0
"Labyronia RPG",5,5
"Electric Highways",5,0
"Full Spectrum Warrior",5,7
Aberoth,5,0
"Zack Zero",5,7
"Max Gentlemen",5,0
"Carpe Diem",5,0
"Space Rangers HD A War Apart",5,13
"Stellar 2D",5,3
"Combat Wings Battle of Britain",5,0
"Demolition, Inc.",5,3
"Dracula's Legacy",5,3
"The Political Machine",5,22
"NASCAR '14",5,4
"Resident Evil Operation Raccoon City",5,2
"TrackMania Canyon",5,1
"Dungeon Hearts",5,1
"Evochron Mercenary",5,3
"The Gate",5,7
"Toybox Turbos",5,2
Landmark,5,39
"Dragon's Lair",5,1
"Ultimate General Gettysburg",5,9
Kenshi,5,67
"Marlow Briggs",5,1
"Fearless Fantasy",5,9
"Titan Souls",5,2
"Avadon 2 The Corruption",5,3
"Mini Motor Racing EVO",5,2
"Mutant Mudds Deluxe",5,85
"No Time to Explain",5,1
"SanctuaryRPG Black Edition",5,1
"Skara - The Blade Remains",5,2
"Ys I",5,3
"N.P.P.D. RUSH - The milk of Ultra violet",5,3
Burstfire,5,2
"Pro Cycling Manager 2015",5,28
Nail'd,5,1
"WWE 2K15",5,29
"The Room",5,4
"Divinity II - The Dragon Knight Saga",5,21
"Age of Wonders",5,16
"Age of Wonders 2",5,32
"Earth Defense Force Insect Armageddon",5,32
"Zombie Army Trilogy",5,4
"Commander Conquest of the Americas",5,2
"Europa Universalis Rome - Gold Edition",5,2
"Democracy 2",5,26
"Tom Clancy's Ghost Recon Advanced Warfighter",5,19
Gomo,5,1
"RIP 3 The Last Hero",5,0
"Tiny Bridge Ratventure",5,5
"Seduce Me the Otome",5,4
"Icewind Dale Enhanced Edition",5,27
"Agarest Zero",5,11
"World War II Panzer Claws",5,0
Walkover,5,0
"Ether One",5,9
"Dysfunctional Systems Learning to Manage Chaos",5,3
"Cherry Tree High Comedy Club",5,3
"Victor Vran",5,52
DARK,5,7
Miscreated,5,7
"Plug & Play",5,0
"Super Amazing Wagon Adventure",5,4
Sheltered,5,13
"Escape Machines",5,3
"Satellite Reign",5,6
"Axiom Verge",5,8
Apotheon,5,3
"Not The Robots",5,2
"Aces Wild Manic Brawling Action!",5,0
"GTR 2 - FIA GT Racing Game",5,1
"Act of Aggression",5,4
"Dragon Age II",5,75
"Brothers in Arms Hell's Highway",5,6
"Make it indie!",5,3
"Saints Row The Third - Initiation Station",5,0
"Starlaxis Supernova Edition",5,7
"Theatre of War",5,6
"The Adventures of Mr. Bobley",5,2
Guns'N'Zombies,5,1
"Lineage II",5,0
"Fairy Fencer F",5,26
"MLB Front Office Manager",5,32
"FIST OF AWESOME",5,1
"Sword Coast Legends",5,21
"American Conquest - Fight Back",5,0
Platypus,5,3
Demonicon,5,2
"Hearts of Iron II Complete",5,61
"Day One Garry's Incident",5,2
"The Amazing Spider-Man 2",5,17
"Flight Control HD",5,2
Puddle,5,1
"Conflict Denied Ops",5,6
"Flora's Fruit Farm",5,0
"Rogue Trooper",5,5
"Season of Mystery  The Cherry Blossom Murders",5,4
"Shellshock 2 Blood Trails",5,5
"Magical Diary",5,9
"Burn Zombie Burn",5,2
"Pacific Storm",5,2
"Tea Party Simulator 2015",5,8
"Blitzkrieg Anthology",5,3
"TrackMania Valley",5,30
Empires,5,156
"Cubemen 2",5,8
QuantZ,5,1
"Tank Universal",5,0
"Enemy Front",5,11
"Sherlock Holmes versus Jack the Ripper",5,13
"Black Mirror",5,1
"FortressCraft Evolved",5,2
"Foul Play",5,1
Shadowgate,5,25
"Foreign Legion Buckets of Blood",5,2
"Software Inc.",5,14
"Dream Pinball 3D",5,0
"The Detail",5,6
"Survivor Squad",5,2
"Original War",5,0
"Carmageddon Reincarnation",5,6
"Year Walk",5,2
"OMSI 2",5,108
"Avernum 4",5,228
"Avernum 5",5,222
"Avernum 6",5,80
"Rhythm Destruction",5,1
"Deadfall Adventures",5,3
"Space Hulk Ascension",5,10
"SC2VN - The eSports Visual Novel",5,2
"Lara Croft and the Temple of Osiris",5,5
"Brothers in Arms Road to Hill 30",5,8
"Shadow Harvest Phantom Ops",5,12
"Clive Barker's Jericho",5,8
"Duke Nukem Forever ",5,4
"Guilty Gear X2 #Reload",4,1
"RUNNING WITH RIFLES",4,10
"Creeper World 3 Arc Eternal",4,6
Delver,4,1
Astebreed,4,0
"Coin Crypt",4,3
"BlazBlue Calamity Trigger",4,3
"BlazBlue Continuum Shift Extend",4,78
"Shantae Risky's Revenge - Director's Cut",4,0
"Super Puzzle Platformer Deluxe",4,6
"Critical Mass",4,0
"Indigo Prophecy",4,11
"4 Elements",4,15
"Nightmares from the Deep 2 The Siren`s Call",4,5
"Nightmares from the Deep The Cursed Heart",4,5
Spectraball,4,8
"Port of Call",4,1
"Genesis Rising",4,2
"Numen Contest of Heroes",4,1
Primordia,4,4
"The Dead Linger",4,5
Wolfenstein,4,26
"The Sims(TM) Medieval",4,15
"Lego Star Wars 3 The Clone Wars",4,7
"SONIC THE HEDGEHOG 4 Episode I",4,1
"Sonic and SEGA All Stars Racing",4,0
"Subspace Continuum",4,0
"StarDrive 2",4,33
"Rig 'n' Roll",4,1
"Zombie Zoeds",4,2
"Super House of Dead Ninjas",4,1
Lightfish,4,1
"Rogue Warrior",4,2
"War of the Vikings",4,6
"Sphere III Enchanted World",4,2
Redshirt,4,5
"Zuma Deluxe",4,1
"Legends of Aethereus",4,9
"Strike Suit Zero Director's Cut",4,1
"Universal Combat CE",4,0
"Fallen Enchantress",4,38
"Tom Clancy's EndWar",4,2
"Hunting Unlimited 2010",4,3
"Guild of Dungeoneering",4,15
"Holy Potatoes! A Weapon Shop?!",4,7
"Gunman Clive",4,1
"Artemis Spaceship Bridge Simulator",4,3
"RPG Maker 2003",4,52
Moonrise,4,1
"Tiny Brains",4,4
"Intergalactic Bubbles",4,2
"Alpha Kimori Episode One ",4,2
"Destiny Warriors",4,3
"FATE Undiscovered Realms",4,1
"Kung Fury Street Rage",4,1
Velocibox,4,1
Waves,4,0
"Ys The Oath in Felghana",4,7
"Zombie Driver HD",4,1
"Call of Duty Black Ops - OSX",4,11
"Call of Duty Black Ops - Multiplayer OSX",4,31
Etherium,4,0
"Might & Magic Heroes VII ",4,92
Overture,4,8
"Melissa K. and the Heart of Gold Collector's Edition",4,5
"The Treasures of Montezuma 4",4,139
"Tales of Maj'Eyal",4,19
"Take On Mars",4,7
Downwell,4,2
"Invisible Apartment",4,0
"Pirates of Black Cove",4,16
"WORLD END ECONOMiCA episode.01",4,0
"The Cursed Crusade",4,1
"iBomber Defense",4,6
"Zafehouse Diaries",4,4
"Shattered Planet",4,1
"Heli Heroes",4,1
"Hate Plus",4,15
Influent,4,7
"Cherry Tree High I! My! Girls!",4,5
Fingered,4,3
Love,4,8
"Electronic Super Joy Groove City",4,0
"Cabela's Big Game Hunter Pro Hunts",4,7
"Solar Flux",4,1
"Ohm Studio",4,0
"Ether Vapor Remaster",4,5
"Doorways Prelude",4,3
"Farming Simulator 2013 - Modding Tutorials",4,7
"Cosmic Osmo",4,0
Kingdom,4,4
"MASSIVE CHALICE",4,9
"The Last Federation",4,2
"Super Time Force Ultra",4,1
"Droid Assault",4,1
ROCKETSROCKETSROCKETS,4,1
"The Amazing Spider-Man",4,8
"Ironclad Tactics",4,4
"Coffin Dodgers",4,2
"Heavy Fire Afghanistan",4,2
"Zero Gear",4,2
"The Inner World",4,1
"Folk Tale",4,6
"Layers of Fear",4,3
Dream,4,2
"Starion Tactics",4,5
"Fahrenheit Indigo Prophecy Remastered",4,5
"THE KING OF FIGHTERS 2002 UNLIMITED MATCH",4,8
Power-Up,4,1
"Majesty Gold Edition",4,16
"Rune Classic",4,6
Driftmoon,4,0
"X-Plane 10 Global - 64 Bit",4,268
"Lamia Must Die",4,0
"Forsaken Uprising",4,3
"Theatre of War 2 Africa 1943",4,1
Basement,4,23
"Battle for Graxia",4,1
"Lakeview Cabin Collection",4,6
"White Noise Online",4,5
"Star Wolves",4,4
CubeGun,4,3
"Written in the Sky",4,1
"theHunter Primal",4,21
"Faces of War",4,0
"Gray Matter",4,13
"Imperial Glory",4,170
"Iron Warriors T-72 Tank Command",4,1
"Real Boxing",4,2
"Tom Clancy's H.A.W.X.",4,7
"State of Decay Year-One",4,9
"F1 Race Stars",4,5
"Bob Came in Pieces",4,1
"The Yawhg",4,0
"BIT.TRIP VOID",4,0
Timberman,4,5
"Space Quest Collection",4,8
Rexaura,4,0
"Doc Clock The Toasted Sandwich of Time",4,1
"The 7th Guest",4,0
"Warhammer 40,000 Kill Team",4,2
"Supreme Ruler Cold War",4,150
"Defend Your Life",4,2
"Naval War Arctic Circle",4,27
"Postal 3",4,2
"Phoenix Force",4,2
"Dig or Die",4,7
"NEED FOR MADNESS ?",4,2
"BRAINPIPE A Plunge to Unhumanity",4,2
"The Moon Sliver",4,1
Metrocide,4,1
"Greed Black Border",4,0
"Post Mortem",4,2
"Bridge It (plus)",4,1
"The Next BIG Thing",4,1
"The Kings' Crusade",4,4
"Street Fighter X Tekken",4,4
"Castlevania Lords of Shadow  Mirror of Fate HD",4,1
"BloodRayne Betrayal",4,2
"Another Perspective",4,0
"Fortix 2",4,11
"Blackwell Convergence",4,0
"Crazy Machines",4,1
"Real World Racing",4,2
"Spoiler Alert",4,1
"WRC Powerslide",4,5
"Wizardry 8",4,1
"Sakura Angels",4,1
"Lilly Looking Through",4,8
"Aperture Tag The Paint Gun Testing Initiative",4,2
AR-K,4,0
"Jagged Alliance 2 Gold Pack",4,2
NyxQuest,4,6
"Major Mayhem",4,4
"Face Noir",4,3
"Shadowgate MacVenture Series",4,1
"Lovely Planet",4,1
Stormrise,4,0
"CivCity Rome",4,3
"Shattered Union",4,116
"Quest of Dungeons",4,3
"Doorways The Underworld",4,4
"Final Dusk",4,2
Bermuda,4,2
Yury,4,1
Retention,4,2
"Into The War",4,1
"Carmageddon 2 Carpocalypse Now",4,6
"War of Beach",4,0
"It came from space, and ate our brains",4,4
Eidolon,4,0
"Pink Hour",4,0
Claire,4,1
Crimsonland,4,9
"Mighty Gunvolt",4,1
"Zuma's Revenge",4,46
"GUILTY GEAR Xrd -SIGN-",4,6
"Crusader Kings Complete",4,3
"Chroma Squad",4,7
"FINAL FANTASY IV",4,1
"Silent Storm Sentinels",4,8
"Arma Combat Operations",4,33
"Firefly Online Cortex",4,0
"Shantae and the Pirate's Curse",4,5
David.,4,0
"BIT.TRIP CORE",4,0
"BIT.TRIP FATE",4,0
"Elven Legacy",4,9
"ONE PIECE PIRATE WARRIORS 3",4,2
Drakensang,4,69
"Game Tycoon 1.5",4,4
"Huntsman - The Orphanage Halloween Edition",4,0
"Impossible Creatures",4,1
Monopoly,4,5
"One Way To Die Steam Edition",4,0
"AION Free-to-Play",4,7
"MLB 2K12",4,65
"Air Conflicts - Secret Wars",4,2
"Nexus The Jupiter Incident",4,2
"Dracula Origin",4,2
"Beasts of Prey",4,17
"Red Stone Online",4,0
"Death Rally",4,6
"NecroVisioN Lost Company",4,1
"Tom Clancy's Ghost Recon",4,0
"Runestone Keeper",4,38
"TransOcean The Shipping Company",4,7
"Lucius II",4,5
"Blazing Angels 2 Secret Missions of WWII",4,6
Breach,4,4
"Freaking Meatbags",4,331
Perpetuum,4,401
"NOT A HERO",3,9
NaissanceE,3,3
"Cat Goes Fishing",3,1
"Mind Path to Thalamus Enhanced Edition",3,5
FarSky,3,18
"Oozi Earth Adventure",3,3
"Fester Mudd Curse of the Gold - Episode 1",3,1
Lucid,3,1
"MacGuffin's Curse",3,8
"Aura Fate of the Ages",3,4
"Cargo! - The quest for gravity",3,7
"Clockwork Tales Of Glass and Ink",3,4
"Shadow Puppeteer",3,0
"The Path - Prologue",3,0
"Back to Bed",3,2
"Beware Planet Earth",3,2
Darkout,3,1
"Depth Hunter 2 Deep Dive",3,10
Maia,3,12
Achron,3,1
"King's Quest",3,11
"Franchise Hockey Manager 2014",3,25
"Robin Hood",3,39
"Nobunaga's Ambition Souzou with Power Up Kit",3,148
"Eden Star  Destroy - Build - Protect",3,6
"Lords of the Black Sun",3,2
"The Deer",3,2
"Nancy Drew Ransom of the Seven Ships ",3,5
"16bit Trader",3,4
"Marble Mayhem Fragile Ball",3,4
"Sometimes Success Requires Sacrifice",3,13
"Booster Trooper",3,1
"MoW Face Off M",3,3
TUG,3,1
"A-Train 8",3,0
"Ancient Space",3,27
"Merchants of Kaidan",3,8
"Space Empires V",3,2
"Mishap An Accidental Haunting",3,8
"Bejeweled 2 Deluxe",3,1
"Angels Fall First",3,5
"Way of the Samurai 4",3,3
"IL-2 Sturmovik Battle of Stalingrad",3,16
"Great Permutator",3,2
"RPG Tycoon",3,2
"Rogue Shooter The FPS Roguelike",3,9
MURI,3,0
"Fist Puncher",3,0
"Bionic Commando",3,1
Boid,3,9
"Dark Void",3,0
"Drunken Robot Pornography",3,2
"Paper Sorcerer",3,2
"Tiny Troopers",3,3
"RIDE Game",3,22
"Absolute Drift",3,2
"Heroes of Hellas 3 Athens",3,22
"Enigmatis 2 The Mists of Ravenwood",3,6
"Nightmares from the Deep 3 Davy Jones",3,6
"Drakensang The River of Time",3,2
"Under the Ocean",3,1
"Restaurant Empire II",3,24
"M.U.D. TV",3,10
Cosmonautica,3,12
"Nimble Quest",3,2
"A Walk in the Dark",3,1
"Secrets of Grindea",3,8
"Warhammer Online Age of Reckoning",3,3
Republique,3,4
Sokobond,3,1
Coil,3,0
"Metaverse Construction Kit",3,0
Descent,3,7
"METAL SLUG X",3,7
"Alien Shooter Vengeance",3,4
"Myst V",3,0
"Blood One Unit Whole Blood",3,1
"Clergy Splode",3,0
Cradle,3,12
"Big Pharma",3,9
"Cannon Brawl",3,2
"Sol Survivor",3,5
"Out There  Edition",3,4
STARWHAL,3,3
"Flight of the Icarus",3,1
"Assassin's Creed Syndicate",3,32
"Aeon Command",3,0
"London 2012 The Official Video Game of the Olympic Games",3,19
"The Chaos Engine",3,1
"Grand Ages Medieval",3,40
"NOBUNAGA'S AMBITION Sphere of Influence",3,56
"FX Football - The Manager for Every Football Fan",3,3
"Cities XL - Limited Edition",3,1
"Armada 2526",3,1
"Gravity Badgers",3,15
"Desktop Dungeons",3,29
"Emergency 2014",3,4
Unmechanical,3,2
"Woody Two-Legs Attack of the Zombie Pirates",3,1
"Blob From Space",3,3
"Terrain Test",3,0
"Firefighters 2014",3,6
"Devils Share",3,1
"Real Warfare",3,0
"Blood Knights",3,3
Daylight,3,2
"Total Annihilation",3,0
"Painkiller Gold Edition",3,14
"MXGP - The Official Motocross Videogame",3,9
"Super Panda Adventures",3,19
"If My Heart Had Wings",3,13
"ShootMania Storm",3,21
"Pro Evolution Soccer 2016",3,55
"Call to Arms",3,25
"Containment The Zombie Puzzler",3,2
"GoD Factory Wingmen",3,7
"Monster Bash",3,0
"Light of Altair",3,1
"Kinetic Void",3,2
inMomentum,3,0
Yosumin!,3,0
"Ubersoldier II",3,1
"Pro Cycling Manager 2013",3,108
"The Marvellous Miss Take",3,1
"AZMD! Scorepocalypse ",3,1
"LEGO Pirates of the Caribbean The Video Game",3,4
"Theatre of War 2 Kursk 1943 ",3,0
Silverfall,3,2
"Pacific Storm Allies",3,0
"Xpand Rally Xtreme",3,4
"Agricultural Simulator 2011 Extended Edition",3,0
"Shelter 2",3,3
"GridRunner Revolution",3,0
"Montague's Mount",3,0
"The Samaritan Paradox",3,4
"The UnderGarden",3,0
OTTTD,3,2
"Oscura Lost Light",3,1
"Bridge Constructor Medieval",3,2
"Lost Horizon",3,19
"Reveal The Deep",3,0
"Hamilton's Great Adventure",3,2
"Black Sails",3,2
"Guardians of Graxia",3,1
"Skyward Collapse",3,17
Ascendant,3,5
"Reaper - Tale of a Pale Swordsman",3,3
0RBITALIS,3,0
"Over 9000 Zombies!",3,2
"Bad Hotel",3,10
"99 Spirits",3,4
"War of the Human Tanks",3,2
"Max The Curse of Brotherhood",3,1
Mainland,3,6
"Probably Archery",3,0
"The Collider",3,0
"Dragon Quest Heroes",3,7
"The Secret of Tremendous Corporation",3,1
"Making History The Calm & The Storm",3,79
Hylics,3,3
"Gurumin A Monstrous Adventure",3,1
"The Albino Hunter",3,8
"Paranormal State Poison Spring Collector's Edition",3,3
"Crazy Plant Shop",3,2
"Cards and Castles",3,1
R.O.O.T.S,3,0
